,local_date,wifi_daily_countscans,wifi_daily_uniquedevices,wifi_daily_countscansmostuniquedevice,screen_daily_countepisodeunlock,screen_daily_episodepersensedminutesunlock,screen_daily_sumdurationunlock,screen_daily_maxdurationunlock,screen_daily_mindurationunlock,screen_daily_avgdurationunlock,screen_daily_stddurationunlock,screen_daily_firstuseafter00unlock,conversation_daily_minutessilence,conversation_daily_minutesnoise,conversation_daily_minutesvoice,conversation_daily_minutesunknown,conversation_daily_countconversation,conversation_daily_silencesensedfraction,conversation_daily_noisesensedfraction,conversation_daily_voicesensedfraction,conversation_daily_unknownsensedfraction,conversation_daily_silenceexpectedfraction,conversation_daily_noiseexpectedfraction,conversation_daily_voiceexpectedfraction,conversation_daily_unknownexpectedfraction,conversation_daily_sumconversationduration,conversation_daily_avgconversationduration,conversation_daily_sdconversationduration,conversation_daily_minconversationduration,conversation_daily_maxconversationduration,conversation_daily_timefirstconversation,conversation_daily_timelastconversation,conversation_daily_noisesumenergy,conversation_daily_noiseavgenergy,conversation_daily_noisesdenergy,conversation_daily_noiseminenergy,conversation_daily_noisemaxenergy,conversation_daily_voicesumenergy,conversation_daily_voiceavgenergy,conversation_daily_voicesdenergy,conversation_daily_voiceminenergy,conversation_daily_voicemaxenergy,call_outgoing_daily_count,call_outgoing_daily_distinctcontacts,call_outgoing_daily_meanduration,call_outgoing_daily_sumduration,call_outgoing_daily_minduration,call_outgoing_daily_maxduration,call_outgoing_daily_stdduration,call_outgoing_daily_modeduration,call_outgoing_daily_entropyduration,call_outgoing_daily_timefirstcall,call_outgoing_daily_timelastcall,call_outgoing_daily_countmostfrequentcontact,call_missed_daily_count,call_missed_daily_distinctcontacts,call_missed_daily_timefirstcall,call_missed_daily_timelastcall,call_missed_daily_countmostfrequentcontact,location_daily_locationvariance,location_daily_loglocationvariance,location_daily_totaldistance,location_daily_averagespeed,location_daily_varspeed,location_daily_circadianmovement,location_daily_numberofsignificantplaces,location_daily_numberlocationtransitions,location_daily_radiusgyration,location_daily_timeattop1location,location_daily_timeattop2location,location_daily_timeattop3location,location_daily_movingtostaticratio,location_daily_outlierstimepercent,location_daily_maxlengthstayatclusters,location_daily_minlengthstayatclusters,location_daily_stdlengthstayatclusters,location_daily_meanlengthstayatclusters,location_daily_locationentropy,location_daily_normalizedlocationentropy,call_incoming_daily_count,call_incoming_daily_distinctcontacts,call_incoming_daily_meanduration,call_incoming_daily_sumduration,call_incoming_daily_minduration,call_incoming_daily_maxduration,call_incoming_daily_stdduration,call_incoming_daily_modeduration,call_incoming_daily_entropyduration,call_incoming_daily_timefirstcall,call_incoming_daily_timelastcall,call_incoming_daily_countmostfrequentcontact,ar_daily_count,ar_daily_mostcommonactivity,ar_daily_countuniqueactivities,ar_daily_activitychangecount,ar_daily_sumstationary,ar_daily_summobile,ar_daily_sumvehicle,bluetooth_daily_countscans,bluetooth_daily_uniquedevices,bluetooth_daily_countscansmostuniquedevice
20,2020-11-07,1440,10,954,176,0.1222222222,144.5829333,14.59725,0.002483333333,0.8214939394,1.600548799,13.68333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00E-06,-5.097006438,2931.385197,4.445538687,2.536598163,-0.9367101718,5,5,322.4277497,456,363,252,0.9645833333,0,456,72,139.8722632,231.5,1.486035096,0.2972070192,,,,,,,,,,,,,1409,3,2,142,1191.2192,152.0235333,,,,
21,2020-11-08,564,2,482,5,0.008849557522,21.82768333,16.3849,0.03051666667,4.365536667,6.867513979,482.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,1,0,0,561,,,0.9946808511,0,561,561,0,561,0,0,,,,,,,,,,,,,401,3,1,0,560.5,,,,,
22,2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,3,2,164,928.26855,340.7140333,,,,
23,2020-11-01,60,1,60,6,0.08571428571,548.7017667,360.2833333,0.11695,91.45029444,148.9639581,870.5333333,,5.016666667,0.35,,,,0.9347826087,0.0652173913,,,0.01393518519,0.0009722222222,,0,,,,0,0,0,636297,2113.943522,4612.792412,214,40541,490899,23376.14286,9247.407627,8111,38468,,,,,,,,,,,,,,,,,,2.05E-09,-8.689241721,16.18087515,,,-5.833384047,1,0,0,60,,,0.9523809524,0,60,60,0,60,0,0,,,,,,,,,,,,,1149,3,2,199,1273.726333,77.59851667,,6,1,6
24,2020-11-02,1282,11,1236,129,0.1003891051,439.3058,159.5,0.0192,3.405471318,14.11123981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,498,498,498,498,,498,0,868,868,1,1,1,1078,1078,1,4.61E-06,-5.336647819,4741.101135,7.90003226,9.440843861,-1.83290806,3,3,110.6843445,627,606,3,0.9626168224,0,627,3,220.6988899,309,0.7083584621,0.2361194874,,,,,,,,,,,,,1394,3,2,246,1166.229333,113.0059333,,,,
25,2020-11-03,1440,34,1290,124,0.08611111111,454.4691667,35.1009,0.01205,3.665073925,5.137868761,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,903.5,1807,786,1021,166.1700936,1021,0.6849434061,700,1195,0,,,,,,8.14E-06,-5.089575154,7213.486182,6.223686897,7.020457678,-1.371529476,5,6,83.36962932,453,417,225,0.94375,0.01545253863,453,3,173.3538319,194.1428571,1.415823505,0.2831647011,1,1,684,684,684,684,,684,0,1002,1002,1,1184,3,2,142,1175.57545,145.0567333,,,,
26,2020-11-04,1439,21,1334,156,0.1083333333,484.294,32.20285,0.01083333333,3.104448718,4.945988578,0.06666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,651,1302,93,1209,789.1311678,93,0.2577026651,1129,1156,0,1,1,868,868,0,5.57E-06,-5.254182496,5492.321511,6.811397718,9.452932739,-1.727794231,6,6,101.1781198,459,432,252,0.9561586639,0.002183406114,459,3,183.4025349,196.2857143,1.391771827,0.2319619712,1,1,1144,1144,1144,1144,,1144,0,1251,1251,0,1304,3,2,186,1151.1955,123.8580167,,,,
27,2020-11-05,1441,28,1349,133,0.09236111111,507.3411667,55.27466667,0.01026666667,3.814595238,7.093689657,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,827,3308,0,3268,1627.442575,0,0.06555803066,702,1211,0,,,,,,4.75E-06,-5.322961118,4579.203961,8.325825384,7.311091243,-1.796324096,4,3,86.49922234,567,465,258,0.9688149688,0,567,108,178.4243537,349.5,1.241821625,0.3104554063,1,1,507,507,507,507,,507,0,1188,1188,0,1312,3,2,184,1126.360267,156.9228,,,,
28,2020-11-06,1358,39,1191,97,0.07080291971,252.83375,18.88495,0.02263333333,2.606533505,3.310306347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,72.33333333,217,0,212,120.9807147,5,0.1119550503,707,946,0,,,,,,3.13E-05,-4.504790231,17444.76479,12.02901123,82.55383045,-1.088051997,7,7,453.8660271,894,162,78,0.9293598234,0.002375296912,894,3,282.0715501,157.875,1.043532054,0.1490760077,1,1,39,39,39,39,,39,0,709,709,0,1242,3,3,196,1087.8141,151.47055,50.5644,,,
29,2020-11-07,1237,70,903,115,0.09274193548,293.0473,24.39008333,0.02058333333,2.548237391,3.918621367,38.71666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,276.5,1106,0,1064,525.3471868,0,0.1666302024,130,1147,0,,,,,,4.04E-05,-4.393726635,11000.03832,10.47622697,31.42528407,-0.6984114409,4,6,395.8611542,795,183,84,0.9346246973,0.02331606218,795,3,263.514628,165.4285714,0.9062244902,0.2265561226,2,2,9.5,19,2,17,10.60660172,2,0.3628115471,130,144,0,1638,3,3,302,1004.231583,191.7899833,67.7904,,,
30,2020-11-08,551,1,551,17,0.03063063063,59.38933333,16.38333333,0.02548333333,3.493490196,4.360092287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,1,0,0,546,,,0.9945355191,0,546,546,0,546,0,0,,,,,,,,,,,,,455,3,2,55,513.8271667,6.770466667,,,,
31,2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,3,2,202,1140.929217,109.5502833,,,,
32,2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,3,2,102,1281.394567,81.82225,,,,
33,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,3,3,174,1182.8733,95.34981667,7.098083333,,,
34,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365,3,3,222,1048.150417,154.6006167,44.37805,,,
35,2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538,3,3,235,990.4008333,106.6947833,155.6827667,,,
36,2020-10-31,767,2,,45,0.125,73.31418333,29.46191667,0.02348333333,1.629204074,4.476115304,668.1333333,,125.8833333,25.55,,4,,0.8312788906,0.1687211094,,,0.3496759259,0.07097222222,,7.725999995,1.931499999,0.3223230682,1.510466663,2.184733335,875,1433,6742975,892.7545346,1178.618048,0,10151,3214411,2096.810828,1516.081303,277,10157,5,4,177.6,888,2,453,238.3910653,2,0.7658132078,703,1427,2,1,1,751,751,1,,,,,,,,,,,,,,,,,,,,,1,1,116,116,116,116,,116,0,1438,1438,1,369,3,6,216,133.47405,38.65765,7.135616667,17,1,17
37,2020-11-01,783,2,,17,0.0320754717,30.04658333,9.319316667,0.004883333333,1.767446078,2.854257224,469.45,,50.58333333,1.6,,1,,0.9693388694,0.03066113063,,,0.1405092593,0.004444444444,,1.344866665,1.344866665,,1.344866665,1.344866665,495,495,783853,258.2711697,698.0465888,33,6223,163207,1700.072917,1175.196711,220,5794,,,,,,,,,,,,,1,1,592,592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3,5,23,563.1164667,,1.10645,,,
